"Server","Admin"
"ZSWBCMICES01C	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMICES01C	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZSWBCMICES04C	","NotAdministrator"
"ZSWBCMICES04C	","Domain Admins"
"ZSWBCMICES04C	","SRVALL_PROD_LOCALADMIN"
"ZSWBCMICES04C	","SRVWEB_PROD_LOCALADMIN"
"ZSWBCMICES04C	","BCMI_PRD_APP"
"ZSWBCMICES04C	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZSWBCMICES04C	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMICES04C	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZSWBCMIUTL01C	","NotAdministrator"
"ZSWBCMIUTL01C	","Domain Admins"
"ZSWBCMIUTL01C	","SRVALL_PROD_LOCALADMIN"
"ZSWBCMIUTL01C	","SRVWEB_PROD_LOCALADMIN"
"ZSWBCMIUTL01C	","BCMI_PRD_APP"
"ZSWBCMIUTL01C	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZSWBCMIUTL01C	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMIUTL01C	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZSWBCMIWEB01C00	","NotAdministrator"
"ZSWBCMIWEB01C00	","Domain Admins"
"ZSWBCMIWEB01C00	","SRVALL_PROD_LOCALADMIN"
"ZSWBCMIWEB01C00	","SRVWEB_PROD_LOCALADMIN"
"ZSWBCMIWEB01C00	","BCMI_PRD_APP"
"ZSWBCMIWEB01C00	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZSWBCMIWEB01C00	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMIWEB01C00	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZSWBCMIWEB01C01	","NotAdministrator"
"ZSWBCMIWEB01C01	","Domain Admins"
"ZSWBCMIWEB01C01	","SRVALL_PROD_LOCALADMIN"
"ZSWBCMIWEB01C01	","SRVWEB_PROD_LOCALADMIN"
"ZSWBCMIWEB01C01	","BCMI_PRD_APP"
"ZSWBCMIWEB01C01	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZSWBCMIWEB01C01	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMIWEB01C01	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZSWBCMIWSR01C	","NotAdministrator"
"ZSWBCMIWSR01C	","Domain Admins"
"ZSWBCMIWSR01C	","SRVALL_PROD_LOCALADMIN"
"ZSWBCMIWSR01C	","SRVWEB_PROD_LOCALADMIN"
"ZSWBCMIWSR01C	","BCMI_PRD_APP"
"ZSWBCMIWSR01C	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZSWBCMIWSR01C	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMIWSR01C	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
